bootstrap_unit,ci95_high,ci95_low,comparison,density,geometry,median_difference,metric,n_agents,n_pairs,paired_mean_difference,positive_fraction
shared held-out evaluation seed,0.0,0.0,crmf - ALF,0.0331,uniform,0.0,mean_fragmentation,16,30,0.0,0.0
shared held-out evaluation seed,0.008364427860696522,-2.0729684908789756e-05,crmf - ALF,0.0331,uniform,0.0,mean_largest_scc_fraction,16,30,0.0031923714759535668,0.06666666666666667
shared held-out evaluation seed,0.4814210199004974,0.2687186463515755,crmf - ALF,0.0331,uniform,0.29306592039801016,mean_degree,16,30,0.3687292703150912,0.9333333333333333
shared held-out evaluation seed,-1.042074095699725,-1.6944517030570612,crmf - ALF,0.0331,uniform,-1.2519480489344323,degree_variance,16,30,-1.353554918581842,0.03333333333333333
shared held-out evaluation seed,0.0025398169875387017,0.0013382122120076164,crmf - ALF,0.0331,uniform,0.0017218612286019482,radius_temporal_variation,16,30,0.001913850147711002,0.9
shared held-out evaluation seed,-8.307291666666806e-05,-0.0008541666666666667,crmf - ALF,0.0331,uniform,-0.00031250000000000017,contact_break_rate,16,30,-0.00044791666666666667,0.2
shared held-out evaluation seed,-8.333333333333332e-05,-0.0008437500000000001,crmf - ALF,0.0331,uniform,-0.00046875,neighbor_loss_rate,16,30,-0.00044791666666666667,0.2
shared held-out evaluation seed,-0.09205793946932007,-0.18197113391376452,crmf - ALF,0.0331,uniform,-0.12437810945273632,radius_max_saturation_fraction,16,30,-0.1369402985074627,0.1
shared held-out evaluation seed,0.0,0.0,crmf - ALF,0.0331,uniform,0.0,episode_failure,16,30,0.0,0.0
shared held-out evaluation seed,9.375986301974137e-06,-4.597948854283608e-06,crmf - ALF,0.0331,uniform,3.414437500453012e-06,controller_wall_s_per_agent_step,16,30,2.4758708332418206e-06,0.5333333333333333
shared held-out evaluation seed,0.0,0.0,fixed_r_retained - ALF,0.0331,uniform,0.0,final_fragmentation,16,30,0.0,0.0
shared held-out evaluation seed,0.0,0.0,fixed_r_retained - ALF,0.0331,uniform,0.0,mean_fragmentation,16,30,0.0,0.0
shared held-out evaluation seed,0.0087893864013267,5.182421227197439e-05,fixed_r_retained - ALF,0.0331,uniform,0.0,mean_largest_scc_fraction,16,30,0.0034618573797678296,0.13333333333333333
shared held-out evaluation seed,1.320607120646766,0.8776868262852404,fixed_r_retained - ALF,0.0331,uniform,0.9715485074626864,mean_degree,16,30,1.0873445273631839,1.0
